city_name,restaurant_name,request_time_local,final_delivery_time_local,order_status,dish_name,item_quantity,customizations,customization_cost_local,special_instructions,item_price,order_price,currency,restaurant_tokens,dish_name_clean,customization_clean,dish_name_to_be_processed,dish_description,sugar_level,sodium_level
Portland,Burger King (10010 S. E. Stark Street),2024-01-14T20:05:07.000Z,2024-01-14T20:52:49.000Z,completed,Spicy BK Royal Crispy Wrap  Meal,1.0,Add Cheese,0.25,,8.1,23.04,USD,"{'street', 'burger', 'king', 'stark'}",spicy bk royal crispy wrap,,spicy bk royal crispy wrap,,,
Portland,Burgerville #4 - Montavilla/92nd & Glisan,2024-01-14T12:26:05.000Z,2024-01-14T13:46:00.000Z,completed,Sweet & Spicy,1.0,,,,0.5,0.0,USD,"{'burgerville', 'montavilla', 'glisan'}",sweet and spicy,,sweet and spicy,,,
Portland,Smush Burger,2024-01-12T12:23:23.000Z,2024-01-12T13:07:16.000Z,completed,The Original Smushburger,1.0,Balsamic and Red wine Braised Mushrooms and Onions,1.5,,10.99,22.46,USD,"{'burger', 'smush'}",the original smushburger,balsamic and red wine braised mushrooms and onions,the original smushburger balsamic and red wine braised mushrooms and onions,,,
Portland,Salt & Pepper,2024-01-09T20:23:30.000Z,2024-01-09T21:07:59.000Z,completed,Mexican Coke®,1.0,Regular,,,4.0,38.4,USD,"{'salt', 'pepper'}",mexican coke,,mexican coke,,,
Portland,Panda Express (10090 S.e. Washington St. #120),2024-01-08T15:36:54.000Z,2024-01-08T16:28:27.000Z,completed,Cream Cheese Rangoon,1.0,Small,2.5,,0.0,38.87,USD,"{'express', 'washington', 'panda'}",cream cheese rangoon,,cream cheese rangoon,,,
Portland,Pastini (SE Division),2024-01-06T19:51:40.000Z,2024-01-06T20:21:53.000Z,completed,American Sodas,1.0,Sprite,0.0,,3.5,39.33,USD,"{'pastini', 'division'}",american sodas,sprite,american sodas sprite,,,
Portland,Fusion Curry Pizza,2024-01-05T20:20:50.000Z,2024-01-05T21:12:02.000Z,completed,Traditional Wings-6 pc.,1.0,"Garlic Peri Peri, Mango Habenero, Achari Rub, Lemon Pepper",0.0,,12.99,45.0,USD,"{'fusion', 'curry', 'pizza'}",traditional wings,garlic peri mango habenero achari rub lemon pepper,traditional wings garlic peri mango habenero achari rub lemon pepper,,,
Portland,Sunny & Fine's Breakfast Burritos (11475 SW Pacific Hwy),2024-01-05T11:29:06.000Z,2024-01-05T12:15:32.000Z,completed,Hash Browns,1.0,,,,3.99,48.56,USD,"{'hwy', 'sunny', 'pacific', 'burritos', 'fine', 'breakfast'}",hash browns,,hash browns,,,
Portland,Sunny & Fine's Breakfast Burritos (11475 SW Pacific Hwy),2024-01-05T11:29:06.000Z,2024-01-05T12:15:32.000Z,completed,Tater Tots,1.0,,,,3.99,48.56,USD,"{'hwy', 'sunny', 'pacific', 'burritos', 'fine', 'breakfast'}",tater tots,,tater tots,,,
Portland,Biryani Corner (Hillsboro),2023-12-31T14:15:48.000Z,2023-12-31T15:59:29.000Z,completed,Chettinad Chicken Fry,1.0,,,,17.55,84.52,USD,"{'corner', 'hillsboro', 'biryani'}",chettinad chicken fry,,chettinad chicken fry,,,
Portland,Biryani Corner (Hillsboro),2023-12-31T14:15:48.000Z,2023-12-31T15:59:29.000Z,completed,Tandoori Chicken,1.0,,,,20.15,84.52,USD,"{'corner', 'hillsboro', 'biryani'}",tandoori chicken,,tandoori chicken,,,
Portland,Biryani Corner (Hillsboro),2023-12-31T14:15:48.000Z,2023-12-31T15:59:29.000Z,completed,Paratha,1.0,,,,3.9,84.52,USD,"{'corner', 'hillsboro', 'biryani'}",paratha,,paratha,,,
Portland,Subway (4328 SE 82nd Ave),2023-12-30T22:15:53.000Z,2023-12-30T22:50:59.000Z,completed,Double Chocolate,1.0,,,,1.09,0.0,USD,"{'ave', 'subway'}",chocolate,,chocolate,,,
Portland,Subway (4328 SE 82nd Ave),2023-12-30T22:15:53.000Z,2023-12-30T22:50:59.000Z,completed,Raspberry Cheesecake,1.0,,,,1.09,0.0,USD,"{'ave', 'subway'}",raspberry cheesecake,,raspberry cheesecake,,,
Portland,Next Level Clucker (SE Hawthorne),2023-12-27T15:33:34.000Z,2023-12-27T15:57:32.000Z,completed,Tater Tots*,1.0,Large Tots*,7.1,,0.0,23.04,USD,"{'next', 'clucker', 'hawthorne', 'level'}",tater tots,tots,tater tots tots,,,
Portland,McDonald's® (9100 SE POWELL BLVD),2023-12-26T23:13:48.000Z,2023-12-26T23:34:18.000Z,completed,Hot 'N Spicy McChicken®,1.0,American Cheese,1.29,,3.26,9.9,USD,"{'powell', 'blvd', 'mcdonald'}",hot spicy mcchicken,american cheese,hot spicy mcchicken american cheese,,,
Portland,McDonald's® (9100 SE POWELL BLVD),2023-12-26T23:13:48.000Z,2023-12-26T23:34:18.000Z,completed,Spicy Buffalo,2.0,,,,0.25,9.9,USD,"{'powell', 'blvd', 'mcdonald'}",spicy buffalo,,spicy buffalo,,,
Portland,Mirisata,2023-12-25T12:23:33.000Z,2023-12-25T13:29:25.000Z,completed,Hot Chili Pol Roti,1.0,,,,6.6,55.84,USD,{'mirisata'},hot chili pol roti,,hot chili pol roti,,,
Portland,Mirisata,2023-12-25T12:23:33.000Z,2023-12-25T13:29:25.000Z,completed,Potato Curry,1.0,,,,6.6,55.84,USD,{'mirisata'},potato curry,,potato curry,,,
Portland,Mirisata,2023-12-25T12:23:33.000Z,2023-12-25T13:29:25.000Z,completed,Deviled Sauce,1.0,,,,2.2,55.84,USD,{'mirisata'},deviled sauce,,deviled sauce,,,
Portland,Mirisata,2023-12-25T12:23:33.000Z,2023-12-25T13:29:25.000Z,completed,Chick'n Curry,1.0,,,,8.8,55.84,USD,{'mirisata'},chick curry,,chick curry,,,
Portland,Mirisata,2023-12-25T12:23:33.000Z,2023-12-25T13:29:25.000Z,completed,Sri Lankan Iced Coffee,1.0,,,,7.7,55.84,USD,{'mirisata'},sri lankan iced coffee,,sri lankan iced coffee,,,
Portland,185th & Indian,2023-12-24T18:59:29.000Z,2023-12-24T20:18:25.000Z,completed,Mixed Platter of all three-,1.0,,,,19.0,0.0,USD,{'indian'},mixed of all three,,mixed of all three,,,
Portland,Shake Shack (West End Portland),2023-12-10T20:50:09.000Z,2023-12-10T21:40:09.000Z,completed,Spicy ShackMeister,1.0,Double,,,10.09,38.58,USD,"{'west', 'end', 'shake', 'portland', 'shack'}",spicy shackmeister,,spicy shackmeister,,,
Portland,Shake Shack (West End Portland),2023-12-10T20:50:09.000Z,2023-12-10T21:40:09.000Z,completed,Cherry Hibiscus Lemonade,1.0,Large,,,4.59,38.58,USD,"{'west', 'end', 'shake', 'portland', 'shack'}",cherry hibiscus lemonade,,cherry hibiscus lemonade,,,
Portland,Shake Shack (West End Portland),2023-12-10T20:50:09.000Z,2023-12-10T21:40:09.000Z,completed,Spicy Fries with Ranch,1.0,,,,5.49,38.58,USD,"{'west', 'end', 'shake', 'portland', 'shack'}",spicy fries with ranch,,spicy fries with ranch,,,
Portland,Indian Connection (Beaverton),2023-12-09T13:22:36.000Z,2023-12-09T14:42:37.000Z,completed,Chole Bhature,1.0,,,,9.99,108.76,USD,"{'indian', 'beaverton', 'connection'}",chole bhature,,chole bhature,,,
Portland,Indian Connection (Beaverton),2023-12-09T13:22:36.000Z,2023-12-09T14:42:37.000Z,completed,Gobi Paratha,1.0,,,,6.99,108.76,USD,"{'indian', 'beaverton', 'connection'}",gobi paratha,,gobi paratha,,,
Portland,Indian Connection (Beaverton),2023-12-09T13:22:36.000Z,2023-12-09T14:42:37.000Z,completed,Paneer Paratha,1.0,,,,7.99,108.76,USD,"{'indian', 'beaverton', 'connection'}",paneer paratha,,paneer paratha,,,
Portland,Indian Connection (Beaverton),2023-12-09T13:22:36.000Z,2023-12-09T14:42:37.000Z,completed,Mix Veg Manchurian,1.0,,,,12.99,108.76,USD,"{'indian', 'beaverton', 'connection'}",mix veg manchurian,,mix veg manchurian,,,
Portland,Mirisata,2023-12-08T20:37:32.000Z,2023-12-08T21:27:18.000Z,completed,Hot Chili Pol Roti Meal,1.0,"Medium, Select Seeni Sambal, Add Chick'n Curry",,,19.8,57.4,USD,{'mirisata'},hot chili pol roti,select seeni sambal curry,hot chili pol roti select seeni sambal curry,,,
Portland,Taco Bell (3908 SE 82nd Ave),2023-12-07T20:34:13.000Z,2023-12-07T20:57:52.000Z,completed,Hot Sauce Packet,4.0,,,,0.0,26.91,USD,"{'bell', 'taco', 'ave'}",hot sauce packet,,hot sauce packet,,,
Portland,Taco Bell (3908 SE 82nd Ave),2023-12-07T20:34:13.000Z,2023-12-07T20:57:52.000Z,completed,Diablo Sauce Packet,1.0,,,,0.0,26.91,USD,"{'bell', 'taco', 'ave'}",diablo sauce packet,,diablo sauce packet,,,
Portland,Taco Bell (3908 SE 82nd Ave),2023-12-07T20:34:13.000Z,2023-12-07T20:57:52.000Z,completed,Fire Sauce Packet,1.0,,,,0.0,26.91,USD,"{'bell', 'taco', 'ave'}",fire sauce packet,,fire sauce packet,,,
Portland,Taco Bell (3908 SE 82nd Ave),2023-12-07T20:34:13.000Z,2023-12-07T20:57:52.000Z,completed,"Grilled Cheese Nacho Fries - Steak, Spicy",1.0,No Steak,0.0,,6.94,26.91,USD,"{'bell', 'taco', 'ave'}",grilled cheese nacho fries steak spicy,,grilled cheese nacho fries steak spicy,,,
Portland,Taco Bell (3908 SE 82nd Ave),2023-12-07T20:34:13.000Z,2023-12-07T20:57:52.000Z,completed,Mild Sauce Packet,4.0,,,,0.0,26.91,USD,"{'bell', 'taco', 'ave'}",mild sauce packet,,mild sauce packet,,,
Portland,Tecos Fresh Mexican Food (Portland),2023-12-06T00:08:24.000Z,2023-12-06T00:30:30.000Z,completed,1. Two Enchiladas Combo,1.0,"Rice & Black Beans, Chicken",,,10.5,25.06,USD,"{'tecos', 'fresh', 'mexican', 'portland', 'food'}",two enchiladas,rice and black beans chicken,two enchiladas rice and black beans chicken,,,
Portland,Tecos Fresh Mexican Food (Portland),2023-12-06T00:08:24.000Z,2023-12-06T00:30:30.000Z,completed,Build Your Own Giant Burrito,1.0,"Black Beans, Pico de Gallo, Cheese, Chicken Fajitas",0.0,Please provide green and red sauce,10.99,25.06,USD,"{'tecos', 'fresh', 'mexican', 'portland', 'food'}",build your own giant burrito,black beans pico de gallo cheese chicken fajitas,build your own giant burrito black beans pico de gallo cheese chicken fajitas,,,
Portland,Tecos Fresh Mexican Food (Portland),2023-12-06T00:08:24.000Z,2023-12-06T00:30:30.000Z,completed,Vegetarian Specialty Burrito,1.0,,,,10.0,25.06,USD,"{'tecos', 'fresh', 'mexican', 'portland', 'food'}",vegetarian specialty burrito,,vegetarian specialty burrito,,,
Portland,Tecos Fresh Mexican Food (Portland),2023-12-06T00:08:24.000Z,2023-12-06T00:30:30.000Z,completed,Chips with Guacamole,1.0,,,,6.5,25.06,USD,"{'tecos', 'fresh', 'mexican', 'portland', 'food'}",chips with guacamole,,chips with guacamole,,,
San Francisco,My Indian Pizza (Sunnyvale),2023-12-03T19:35:00.000Z,2023-12-03T20:14:06.000Z,completed,Indian Garlic Bread,2.0,,,,7.99,45.75,USD,"{'indian', 'sunnyvale', 'pizza'}",garlic bread,,garlic bread,,,
Portland,Don Pedro Taqueria (Food Truck),2023-12-02T20:23:35.000Z,2023-12-02T20:50:42.000Z,completed,Burrito California,1.0,"salsa spicy avocado ( medium - hot ), Habanero ( Extra hot )",0.0,,11.99,58.19,USD,"{'don', 'pedro', 'truck', 'taqueria', 'food'}",burrito california,salsa spicy avocado habanero,burrito california salsa spicy avocado habanero,,,
Portland,The Indus Valley Cafe (1967 SW 4th Ave),2023-12-02T13:32:00.000Z,2023-12-02T14:24:30.000Z,completed,Pan Griddled Flatbread,1.0,,,,4.39,41.34,USD,"{'indus', 'valley', 'the', 'cafe', 'ave'}",pan griddled flatbread,,pan griddled flatbread,,,
Portland,The Indus Valley Cafe (1967 SW 4th Ave),2023-12-02T13:32:00.000Z,2023-12-02T14:24:30.000Z,completed,Tempered Lentil Curry,1.0,,,,14.29,41.34,USD,"{'indus', 'valley', 'the', 'cafe', 'ave'}",tempered lentil curry,,tempered lentil curry,,,
Portland,The Indus Valley Cafe (1967 SW 4th Ave),2023-12-02T13:32:00.000Z,2023-12-02T14:24:30.000Z,completed,Classic Chole Bhature,1.0,,,,14.29,41.34,USD,"{'indus', 'valley', 'the', 'cafe', 'ave'}",classic chole bhature,,classic chole bhature,,,
Portland,The Indus Valley Cafe (1967 SW 4th Ave),2023-12-02T13:32:00.000Z,2023-12-02T14:24:30.000Z,completed,Smoky Cottage Cheese Curry,1.0,Pan Griddled Flatbread,,,17.59,41.34,USD,"{'indus', 'valley', 'the', 'cafe', 'ave'}",smoky cottage cheese curry,pan griddled flatbread,smoky cottage cheese curry pan griddled flatbread,,,
Portland,El Nutri-Taco,2023-11-22T14:29:46.000Z,2023-11-22T15:06:01.000Z,completed,Super Burrito,1.0,Potatoes,0.0,,11.75,45.7,USD,"{'nutri', 'taco'}",super burrito,potatoes,super burrito potatoes,,,
Portland,El Nutri-Taco,2023-11-22T14:29:46.000Z,2023-11-22T15:06:01.000Z,completed,Gaby's Enchilada,1.0,Chicken,2.0,,14.75,45.7,USD,"{'nutri', 'taco'}",gaby enchilada,chicken,gaby enchilada chicken,,,
Portland,Red Robin Gourmet Burgers (9880 SE Washington St),2023-11-14T15:53:25.000Z,2023-11-14T16:34:19.000Z,completed,NEW! Crispy Chicken Wrap,1.0,"Campfire Mayo, Add a Side Sauce, Napkin, Fork, Knife, Spoon, Steak Fries, Crispy Chicken Wrap Customizations, Buzz Sauce, No Bacon Bits, Add To-Go Silverware",,,17.39,52.93,USD,"{'washington', 'burgers', 'red', 'robin', 'gourmet'}",new crispy chicken wrap,campfire mayo sauce napkin fork knife spoon steak fries crispy chicken wrap customizations buzz sauce bits go silverware,new crispy chicken wrap campfire mayo sauce napkin fork knife spoon steak fries crispy chicken wrap customizations buzz sauce bits go silverware,,,
Portland,Red Robin Gourmet Burgers (9880 SE Washington St),2023-11-14T15:53:25.000Z,2023-11-14T16:34:19.000Z,completed,Orange Cream Soda,1.0,,,,5.69,52.93,USD,"{'washington', 'burgers', 'red', 'robin', 'gourmet'}",orange cream soda,,orange cream soda,,,
Portland,Red Robin Gourmet Burgers (9880 SE Washington St),2023-11-14T15:53:25.000Z,2023-11-14T16:34:19.000Z,completed,Very Berry Raspberry Limeade,1.0,Beverage Customizations,,,5.99,52.93,USD,"{'washington', 'burgers', 'red', 'robin', 'gourmet'}",very berry raspberry limeade,beverage customizations,very berry raspberry limeade beverage customizations,,,
Portland,The Yodha Indian (3625 NE Martin Luther King Jr Blvd),2023-11-05T21:44:33.000Z,2023-11-05T22:29:27.000Z,completed,Creamy Kapital Dumpling Rice Bowl,1.0,Medium,0.0,,15.84,26.22,USD,"{'indian', 'luther', 'the', 'blvd', 'yodha', 'martin', 'king'}",creamy kapital dumpling rice bowl,,creamy kapital dumpling rice bowl,,,
