city_name,restaurant_name,request_time_local,final_delivery_time_local,order_status,dish_name,item_quantity,customizations,customization_cost_local,special_instructions,item_price,order_price,currency,restaurant_tokens,dish_name_clean,customization_clean,dish_name_to_be_processed,dish_description,sugar_level,sodium_level,dish_description_clean
Portland,Popeyes (8111 SE Foster Rd),2024-10-01T23:58:28.000Z,2024-10-02T00:22:40.000Z,completed,Chocolate Chip Biscuit,1.0,1 Biscuit,0.0,,2.19,21.56,USD,"{'foster', 'popeyes'}",chocolate chip biscuit,biscuit,chocolate chip biscuit biscuit,"These chocolate chip biscuits offer a delightful balance of sweet, rich chocolate flavor, complemented by a warm, buttery aroma that invites indulgence, while their flaky, tender texture provides a satisfying bite that melts in your mouth.",,,these chocolate chip biscuits offer delightful balance of sweet rich chocolate flavor complemented by warm buttery aroma that invites indulgence while their flaky tender texture provides satisfying bite that melts your mouth
Portland,Subway (4328 SE 82nd Ave),2024-08-24T02:39:52.000Z,2024-08-24T03:09:13.000Z,completed,Grilled Chicken,1.0,"Provolone, Toasted, Creamy Sriracha, SubKrunch™, Hearty Multigrain, Red Onions, American Cheese, Lettuce, Jalapeños, Tomatoes, Green Peppers",0.0,,9.99,21.64,USD,"{'subway', 'ave'}",grilled chicken,provolone toasted creamy sriracha subkrunch hearty multigrain red onions american cheese lettuce jalapenos tomatoes green peppers,grilled chicken provolone toasted creamy sriracha subkrunch hearty multigrain red onions american cheese lettuce jalapenos tomatoes green peppers,"This hearty grilled chicken sub features tender, juicy chicken layered with creamy sriracha, delivering a spicy kick, while the toasted multigrain bread adds a crunchy texture; the aroma of roasted red onions and fresh green peppers complements the savory taste, making each bite a delightful experience.",,,this hearty grilled chicken tender juicy chicken layered with creamy sriracha delivering spicy kick while the toasted multigrain bread adds crunchy texture the aroma of roasted red onions and fresh green peppers complements the savory taste making each bite delightful experience
Portland,7-Eleven (9710 Se Foster Rd),2024-02-18T16:46:22.000Z,2024-02-18T17:16:32.000Z,completed,Reddy Ice Family pack Pure Ice Bag,1.0,,,,3.79,23.24,USD,"{'foster', 'eleven'}",reddy ice pure ice bag,,reddy ice pure ice bag,,,,
Portland,7-Eleven (9710 Se Foster Rd),2024-02-18T16:46:22.000Z,2024-02-18T17:16:32.000Z,completed,Planters Heat Peanuts,5.0,,,,3.95,23.24,USD,"{'foster', 'eleven'}",planters heat peanuts,,planters heat peanuts,"These Planters Heat Peanuts offer a spicy kick that tantalizes the taste buds, complemented by a warm, nutty aroma that fills the air; their crunchy texture provides a satisfying bite, making them an ideal snack for those seeking a flavorful and invigorating experience.",,,these planters heat peanuts offer spicy kick that tantalizes the taste buds complemented by warm nutty aroma that fills the air their crunchy texture provides satisfying bite making them an ideal snack those seeking flavorful and invigorating experience
Portland,Popeyes (8111 SE Foster Rd),2024-02-18T16:40:14.000Z,2024-02-18T17:16:32.000Z,completed,2pc Heart-Shaped Strawberry Biscuits,1.0,,,,4.29,27.65,USD,"{'foster', 'popeyes'}",heart shaped strawberry biscuits,,heart shaped strawberry biscuits,"These heart-shaped strawberry biscuits offer a delightful balance of sweet and tangy flavors, with a warm, fruity aroma that invites you in; their flaky, tender texture melts in your mouth, making them a perfect treat for any occasion.",,,these heart shaped strawberry biscuits offer delightful balance of sweet and tangy flavors with warm fruity aroma that invites you their flaky tender texture melts your mouth making them perfect treat any occasion
Portland,Popeyes (8111 SE Foster Rd),2024-02-18T16:40:14.000Z,2024-02-18T17:16:32.000Z,completed,New! 12Pc Wings,1.0,"Sweet Heat, 6P Ghost Pepper Wings, Blackened Ranch, New! 12Pc Wings, A La Carte, 6Pc Sweet 'N Spicy Wings",0.0,,17.29,27.65,USD,"{'foster', 'popeyes'}",new wings,sweet heat ghost pepper wings blackened ranch new wings la carte sweet spicy wings,new wings sweet heat ghost pepper wings blackened ranch new wings la carte sweet spicy wings,"These new 12-piece wings deliver a tantalizing sweet heat from ghost pepper, complemented by a smoky aroma and a crispy texture that enhances each bite, making them a perfect indulgence for those who enjoy a spicy kick paired with a rich, flavorful experience.",,,these new piece wings deliver tantalizing sweet heat from ghost pepper complemented by smoky aroma and crispy texture that enhances each bite making them perfect indulgence those who enjoy spicy kick paired with rich flavorful experience
Portland,Chipotle Mexican Grill (3582 SE Powell),2024-02-18T16:34:51.000Z,2024-02-18T16:46:49.000Z,canceled,Chips & Guacamole,1.0,Regular,0.0,,5.85,0.0,USD,"{'chipotle', 'powell', 'mexican', 'grill'}",chips and guacamole,,chips and guacamole,"The crispy tortilla chips deliver a satisfying crunch, while the creamy guacamole offers a rich, buttery texture with hints of earthy avocado and zesty lime, creating a delightful balance of salty and tangy flavors that awaken the senses.",,,the crispy tortilla chips deliver satisfying crunch while the creamy guacamole offers rich buttery texture with hints of earthy avocado and zesty lime creating delightful balance of salty and tangy flavors that awaken the senses
Portland,Burgerville #4 - Montavilla/92nd & Glisan,2024-02-16T20:26:30.000Z,2024-02-16T21:15:11.000Z,completed,Blazin' Hot Pepper Crispy Chicken Sandwich,1.0,Add Face Rock White Cheddar,1.2,,8.49,29.27,USD,"{'burgerville', 'glisan', 'montavilla'}",blazin hot pepper crispy chicken sandwich,rock white cheddar,blazin hot pepper crispy chicken sandwich rock white cheddar,"This Blazin' Hot Pepper Crispy Chicken Sandwich features a spicy kick that tantalizes the taste buds, complemented by the nutty aroma of toasted white cheddar, all enveloped in a crunchy, golden-brown coating that adds a satisfying texture to each bite.",,,this blazin hot pepper crispy chicken sandwich features spicy kick that tantalizes the taste buds complemented by the nutty aroma of toasted white cheddar all enveloped crunchy golden brown coating that adds satisfying texture to each bite
Portland,Burgerville #4 - Montavilla/92nd & Glisan,2024-02-16T20:26:30.000Z,2024-02-16T21:15:11.000Z,completed,Truffle Parmesan Waffley Fries - Large,1.0,"No Parmesan, Ketchup",,,5.49,29.27,USD,"{'burgerville', 'glisan', 'montavilla'}",truffle parmesan waffley fries,ketchup,truffle parmesan waffley fries ketchup,"These large truffle Parmesan waffley fries offer a savory umami taste, enhanced by the earthy aroma of truffles, while their crispy exterior gives way to a tender, fluffy interior, making each bite a delightful combination of textures that pairs perfectly with a side of tangy ketchup.",,,these truffle parmesan waffley fries offer savory umami taste enhanced by the earthy aroma of truffles while their crispy exterior gives way to tender fluffy interior making each bite delightful combination of textures that pairs perfectly with of tangy ketchup
Portland,Ishtar Gate (SE Foster),2024-02-11T01:24:39.000Z,2024-02-11T02:19:43.000Z,canceled,Falafel Sandwich Combo(pita bread),1.0,,,,16.99,44.5,USD,"{'foster', 'ishtar', 'gate'}",falafel sandwich,,falafel sandwich,"This falafel sandwich features crispy, golden-brown falafel balls nestled in warm, fluffy pita bread, offering a delightful crunch with each bite; the earthy aroma of herbs like parsley and cumin complements the savory, umami-rich flavor, while a drizzle of tahini adds a creamy, velvety texture that enhances the overall experience.",,,this falafel sandwich features crispy golden brown falafel balls nestled warm fluffy pita bread offering delightful crunch with each bite the earthy aroma of herbs like parsley and cumin complements the savory umami rich flavor while drizzle of tahini adds creamy velvety texture that enhances the overall experience
Portland,Ishtar Gate (SE Foster),2024-02-11T01:24:39.000Z,2024-02-11T02:19:43.000Z,canceled,Chicken Shawarma Sandwich Combo (Saj bread),1.0,Mexican Coke (500ml),,Please make it spicy,16.99,44.5,USD,"{'foster', 'ishtar', 'gate'}",chicken shawarma sandwich,mexican coke,chicken shawarma sandwich mexican coke,"This Chicken Shawarma Sandwich features tender, savory chicken marinated with warm spices, enveloped in soft, flaky Saj bread, while the aroma of earthy herbs enhances each bite; paired with a refreshing Mexican Coke, the combination offers a delightful contrast of juicy texture and tangy sweetness.",,,this chicken shawarma sandwich features tender savory chicken marinated with warm spices enveloped soft flaky saj bread while the aroma of earthy herbs enhances each bite paired with refreshing mexican coke the combination offers delightful contrast of juicy texture and tangy sweetness
Portland,McDonald's® (Portland/82Nd),2024-02-07T22:10:22.000Z,2024-02-07T22:30:46.000Z,completed,Hot 'N Spicy McChicken® Meal,1.0,Hot 'N Spicy McChicken® Large Meal,1.1,,7.09,23.16,USD,"{'portland', 'mcdonald'}",hot spicy mcchicken,hot spicy mcchicken,hot spicy mcchicken hot spicy mcchicken,"The Hot 'N Spicy McChicken® Meal features a crispy, golden-brown chicken patty that delivers a spicy kick, complemented by a savory, peppery aroma; its tender, juicy interior contrasts beautifully with the crunchy lettuce and soft bun, creating a satisfying texture that enhances each flavorful bite.",,,the hot spicy mcchicken features crispy golden brown chicken patty that delivers spicy kick complemented by savory peppery aroma its tender juicy interior contrasts beautifully with the crunchy lettuce and soft bun creating satisfying texture that enhances each flavorful bite
Portland,McDonald's® (Portland/82Nd),2024-02-07T22:10:22.000Z,2024-02-07T22:30:46.000Z,completed,Creamy Ranch Sauce,1.0,,,,0.39,23.16,USD,"{'portland', 'mcdonald'}",creamy ranch sauce,,creamy ranch sauce,"This creamy ranch sauce offers a tangy, herbaceous flavor profile, enhanced by a nutty aroma from blended spices, while its smooth, velvety texture makes it a delightful accompaniment for crispy fries or fresh salads.",,,this creamy ranch sauce offers tangy herbaceous flavor profile enhanced by nutty aroma from blended spices while its smooth velvety texture makes it delightful accompaniment crispy fries or fresh salads
Portland,Chipotle Mexican Grill (3582 SE Powell),2024-02-05T19:10:56.000Z,2024-02-05T19:32:31.000Z,completed,Burrito Bowl,1.0,"Roasted Chili-Corn Salsa, Tomatillo-Green Chili Salsa, Black Beans, Pinto Beans, Tortilla on the Side, Tomatillo-Red Chili Salsa, Sour Cream, White Rice, Sofritas, Fresh Tomato Salsa, Cheese, Fajita Veggies, Romaine Lettuce, Extra Sofritas, Extra Portion",,,11.85,26.51,USD,"{'chipotle', 'powell', 'mexican', 'grill'}",burrito bowl,roasted chili corn salsa tomatillo green chili salsa black beans pinto beans tortilla tomatillo red chili salsa sour cream white rice sofritas fresh tomato salsa cheese fajita veggies romaine lettuce,burrito bowl roasted chili corn salsa tomatillo green chili salsa black beans pinto beans tortilla tomatillo red chili salsa sour cream white rice sofritas fresh tomato salsa cheese fajita veggies romaine lettuce,"This vibrant burrito bowl features a medley of savory black and pinto beans, complemented by the tangy aroma of tomatillo and roasted chili salsas, while the fluffy white rice adds a tender texture, creating a delightful balance of umami flavors and a fresh, crunchy bite from the romaine lettuce.",,,this vibrant burrito bowl features medley of savory black and pinto beans complemented by the tangy aroma of tomatillo and roasted chili salsas while the fluffy white rice adds tender texture creating delightful balance of umami flavors and fresh crunchy bite from the romaine lettuce
Portland,Subway (4328 SE 82nd Ave),2024-02-02T00:55:48.000Z,2024-02-02T01:13:51.000Z,completed,#23 The Hotshot Italiano,1.0,50% More,2.0,,8.99,16.46,USD,"{'subway', 'ave'}",the hotshot italiano,more,the hotshot italiano more,"The Hotshot Italiano features a savory blend of spicy pepperoni and tangy marinara, complemented by the earthy aroma of fresh herbs, all nestled in a crispy, toasted sub that offers a satisfying crunch with each bite.",,,the hotshot italiano features savory blend of spicy pepperoni and tangy marinara complemented by the earthy aroma of fresh herbs all nestled crispy toasted offers satisfying crunch with each bite
Portland,Chipotle Mexican Grill (3582 SE Powell),2024-01-31T20:07:53.000Z,2024-01-31T20:30:11.000Z,completed,Tortilla on the Side,1.0,,,,0.65,23.5,USD,"{'chipotle', 'powell', 'mexican', 'grill'}",tortilla,,tortilla,,,,
Portland,Chipotle Mexican Grill (3582 SE Powell),2024-01-31T20:07:53.000Z,2024-01-31T20:30:11.000Z,completed,Tractor Organic Lemonade,1.0,,,,4.15,23.5,USD,"{'chipotle', 'powell', 'mexican', 'grill'}",tractor organic lemonade,,tractor organic lemonade,"This Tractor Organic Lemonade offers a refreshing balance of sweet and tangy flavors, complemented by a bright, citrusy aroma that invigorates the senses, while its smooth, slightly effervescent texture provides a delightful sip that is both refreshing and satisfying.",,,this tractor organic lemonade offers refreshing balance of sweet and tangy flavors complemented by bright citrusy aroma that invigorates the senses while its smooth slightly effervescent texture provides delightful sip that is both refreshing and satisfying
Portland,Chipotle Mexican Grill (3582 SE Powell),2024-01-29T13:09:34.000Z,2024-01-29T13:29:40.000Z,completed,Tractor Organic Black Tea,1.0,,,,4.15,23.19,USD,"{'chipotle', 'powell', 'mexican', 'grill'}",tractor organic black tea,,tractor organic black tea,"This Tractor Organic Black Tea offers a robust, slightly bitter taste complemented by earthy, toasted aromas, creating a warm and inviting experience; its smooth, velvety texture glides effortlessly across the palate, making it a perfect companion for a refreshing pause during a meal.",,,this tractor organic black tea offers robust slightly bitter taste complemented by earthy toasted aromas creating warm and inviting experience its smooth velvety texture glides effortlessly across the palate making it perfect companion refreshing pause during
Portland,Dick's Primal Kitchen,2024-01-22T15:36:46.000Z,2024-01-22T16:08:58.000Z,completed,Iced Tea,1.0,,,,2.0,24.08,USD,"{'primal', 'dick', 'kitchen'}",iced tea,,iced tea,"This refreshing iced tea offers a subtly sweet flavor balanced by a hint of tanginess, complemented by a floral aroma that invigorates the senses, while its smooth, chilled texture provides a soothing experience, making it the perfect thirst-quencher on a warm day.",,,this refreshing iced tea offers subtly sweet flavor balanced by hint of tanginess complemented by floral aroma that invigorates the senses while its smooth chilled texture provides soothing experience making it the perfect thirst quencher on warm day
Portland,Wendy's  (232 Ne 82Nd Ave),2024-01-21T22:46:18.000Z,2024-01-21T23:15:02.000Z,completed,Ghost Pepper Ranch Chicken Sandwich Combo,1.0,Large Combo,15.24,,0.0,20.28,USD,"{'wendy', 'ave'}",ghost pepper ranch chicken sandwich,,ghost pepper ranch chicken sandwich,"This Ghost Pepper Ranch Chicken Sandwich features a spicy kick from the fiery ghost pepper, complemented by a creamy, herby ranch aroma, all encased in a crispy, golden-brown chicken fillet that offers a satisfying crunch with each bite, making it a bold and flavorful choice for heat seekers.",,,this ghost pepper ranch chicken sandwich features spicy kick from the fiery ghost pepper complemented by creamy herby ranch aroma all encased crispy golden brown chicken fillet that offers satisfying crunch with each bite making it bold and flavorful choice heat seekers
Portland,Jack in the Box (4242 Se 82Nd Ave),2024-01-20T20:10:47.000Z,2024-01-20T20:44:57.000Z,completed,Large Chicken Fajita Pita Combo,1.0,"Large Fanta®, Extra Salsa, Large French Fry, No Lettuce, Easy Tomato",0.0,,15.48,39.51,USD,"{'box', 'jack', 'the', 'ave'}",chicken fajita pita,fanta french fry easy tomato,chicken fajita pita fanta french fry easy tomato,"The Large Chicken Fajita Pita Combo features tender, juicy chicken with a savory, slightly spicy flavor, complemented by the earthy aroma of roasted peppers and onions, all wrapped in a warm, soft pita that offers a delightful, chewy texture, making each bite satisfying and flavorful.",,,chicken fajita pita features tender juicy chicken with savory slightly spicy flavor complemented by earthy aroma of roasted peppers and onions all wrapped warm soft pita that offers delightful chewy texture making each bite satisfying and flavorful
Portland,Jack in the Box (4242 Se 82Nd Ave),2024-01-20T20:10:47.000Z,2024-01-20T20:44:57.000Z,completed,Spicy Grilled Jack Wrap,1.0,"Easy Pickles, No Shredded Lettuce, Easy Ranch Sauce",0.0,,4.11,39.51,USD,"{'box', 'jack', 'the', 'ave'}",spicy grilled wrap,easy pickles lettuce easy ranch sauce,spicy grilled wrap easy pickles lettuce easy ranch sauce,"This Spicy Grilled Jack Wrap features a savory and spicy flavor profile, complemented by the earthy aroma of grilled vegetables, all wrapped in a tender, slightly crispy tortilla that adds a satisfying texture, while the coolness of pickles and ranch sauce enhances the overall experience.",,,this spicy grilled wrap features savory and spicy flavor profile complemented by earthy aroma of grilled vegetables all wrapped tender slightly crispy tortilla that adds satisfying texture while coolness of pickles and ranch sauce enhances overall experience
Portland,Starbucks (4500 Ne Glisan St),2024-01-19T13:14:05.000Z,2024-01-19T14:49:56.000Z,canceled,Iced Passion Tango® Tea Lemonade,2.0,"Tall Iced Passion Tango® Tea Lemonade, Lemonade, Ice",0.0,,9.5,0.0,USD,"{'starbucks', 'glisan'}",iced passion tango tea lemonade,tall iced passion tango tea lemonade ice,iced passion tango tea lemonade tall iced passion tango tea lemonade ice,,,,
Portland,Subway (4328 SE 82nd Ave),2024-01-16T01:08:09.000Z,2024-01-16T01:08:33.000Z,canceled,Chocolate Chip,1.0,,,,1.09,0.0,USD,"{'subway', 'ave'}",chocolate chip,,chocolate chip,"The chocolate chip cookie offers a delightful balance of sweet, rich chocolate flavor, complemented by a warm, buttery aroma that invites indulgence, while its texture is perfectly chewy with a slightly crisp edge, creating a satisfying bite that melts in your mouth.",,,the chocolate chip cookie offers delightful balance of sweet rich chocolate flavor complemented by warm buttery aroma that invites indulgence while its texture is perfectly chewy with slightly crisp edge creating satisfying bite that melts your mouth
Portland,Subway (4328 SE 82nd Ave),2024-01-16T01:08:09.000Z,2024-01-16T01:08:33.000Z,canceled,Spicy Italian,1.0,"Artisan Italian, Monterey Cheddar, Pickles, Cucumbers, Italian Herbs & Cheese, Jalapeños, Tomatoes, Baja Chipotle, Roasted Garlic Aioli, Sweet Onion Teriyaki, Red Onions, Parmesan Cheese, Lettuce, Green Peppers",0.0,,7.99,0.0,USD,"{'subway', 'ave'}",spicy italian,artisan italian monterey cheddar pickles cucumbers italian herbs and cheese jalapenos tomatoes baja chipotle roasted garlic aioli sweet onion teriyaki red onions parmesan cheese lettuce green peppers,spicy italian artisan italian monterey cheddar pickles cucumbers italian herbs and cheese jalapenos tomatoes baja chipotle roasted garlic aioli sweet onion teriyaki red onions parmesan cheese lettuce green peppers,"This Spicy Italian sandwich features a savory blend of Monterey cheddar and Parmesan, complemented by the earthy aroma of roasted garlic and Italian herbs, while the crispy lettuce and crunchy cucumbers provide a refreshing texture, all enhanced by the spicy kick of jalapeños and a tangy chipotle aioli.",,,this spicy italian sandwich features savory blend of monterey cheddar and parmesan complemented by the earthy aroma of roasted garlic and italian herbs while the crispy lettuce and crunchy cucumbers provide refreshing texture all enhanced by the spicy kick of jalapenos and tangy chipotle aioli
Portland,Burger King (10010 S. E. Stark Street),2024-01-14T20:05:07.000Z,2024-01-14T20:52:49.000Z,completed,Spicy BK Royal Crispy Wrap  Meal,1.0,Add Cheese,0.25,,8.1,23.04,USD,"{'street', 'stark', 'burger', 'king'}",spicy bk royal crispy wrap,,spicy bk royal crispy wrap,"The Spicy BK Royal Crispy Wrap features a tantalizing blend of spicy heat and savory umami, complemented by a warm, herby aroma that invites you in; its crispy texture provides a satisfying crunch, making each bite a delightful experience.",,,the spicy bk royal crispy wrap features tantalizing blend of spicy heat and savory umami complemented by warm herby aroma that invites you its crispy texture provides satisfying crunch making each bite delightful experience
Portland,Burgerville #4 - Montavilla/92nd & Glisan,2024-01-14T12:26:05.000Z,2024-01-14T13:46:00.000Z,completed,Sweet & Spicy,1.0,,,,0.5,0.0,USD,"{'burgerville', 'glisan', 'montavilla'}",sweet and spicy,,sweet and spicy,"This sweet and spicy dish features a delightful balance of honeyed and tangy flavors, complemented by a warm-spice aroma that hints at chili and cumin, while the texture is satisfyingly crispy, providing a delightful crunch with each bite.",,,this sweet and spicy dish features delightful balance of honeyed and tangy flavors complemented by warm spice aroma that hints at chili and cumin while the texture is satisfyingly crispy providing delightful crunch with each bite
Portland,Smush Burger,2024-01-12T12:23:23.000Z,2024-01-12T13:07:16.000Z,completed,The Original Smushburger,1.0,Balsamic and Red wine Braised Mushrooms and Onions,1.5,,10.99,22.46,USD,"{'smush', 'burger'}",the original smushburger,balsamic and red wine braised mushrooms and onions,the original smushburger balsamic and red wine braised mushrooms and onions,"The Original Smushburger features a savory blend of balsamic and red wine-braised mushrooms and onions, offering a rich, umami taste complemented by a warm, earthy aroma, all nestled in a tender, juicy patty that provides a satisfying, succulent texture.",,,the original smushburger features savory blend of balsamic and red wine braised mushrooms and onions offering rich umami taste complemented by warm earthy aroma all nestled tender juicy patty that provides satisfying succulent texture
Portland,Salt & Pepper,2024-01-09T20:23:30.000Z,2024-01-09T21:07:59.000Z,completed,Mexican Coke®,1.0,Regular,,,4.0,38.4,USD,"{'salt', 'pepper'}",mexican coke,,mexican coke,,,,
Portland,Panda Express (10090 S.e. Washington St. #120),2024-01-08T15:36:54.000Z,2024-01-08T16:28:27.000Z,completed,Cream Cheese Rangoon,1.0,Small,2.5,,0.0,38.87,USD,"{'panda', 'washington', 'express'}",cream cheese rangoon,,cream cheese rangoon,"These cream cheese rangoons feature a savory, umami-rich filling that balances perfectly with a hint of sweetness, while their crispy, golden-brown exterior offers a satisfying crunch; the aroma is enhanced by subtle notes of toasted garlic and herbs, creating an inviting experience with each bite.",,,these cream cheese rangoons feature savory umami rich filling that balances perfectly with hint of sweetness while their crispy golden brown exterior offers satisfying crunch the aroma is enhanced by subtle notes of toasted garlic and herbs creating an inviting experience with each bite
Portland,Pastini (SE Division),2024-01-06T19:51:40.000Z,2024-01-06T20:21:53.000Z,completed,American Sodas,1.0,Sprite,0.0,,3.5,39.33,USD,"{'pastini', 'division'}",american sodas,sprite,american sodas sprite,,,,
